CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
03.683.056/0001-86;2021-06-01;1;26532422.87;5765.44;0;0;26526657.43;714000714.97;639429447.61;0;536522706.23;102906741.38;0;0;0;0;0;0;0;0;0;0;71797335.65;0;0;0;0;2773931.71;2773931.71;0;0;0;0;0;3647229.18;3088859.81;0;558369.37;231790.2;283738.31;0;3433001.6;0;0;0;0;0;9307531.46;13256061.57
03.683.056/0001-86;2021-07-01;1;19874784.94;6043.08;0;0;19868741.86;718363386.19;639408390.82;0;536522706.23;102885684.59;0;0;0;0;0;0;0;0;0;0;76181063.66;0;0;0;0;2773931.71;2773931.71;0;0;0;0;0;4022156.3;3459211.36;0;562944.94;233769.81;290566.32;0;3433001.6;0;0;0;0;0;6832082.75;10789420.48
03.683.056/0001-86;2021-08-01;1;16277676.38;6016.94;0;0;16271659.44;710823678.02;639466781.17;0;536522706.23;102944074.94;0;0;0;0;0;0;0;0;0;0;68582965.14;0;0;0;0;2773931.71;2773931.71;0;0;0;0;0;4021028.12;3525546.39;0;495481.73;236033.82;287666.52;0;3433001.6;0;0;0;0;0;3624766.21;7581468.15
03.855.441/0001-63;2021-01-01;1;142307859.25;5076.75;0;0;142302782.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;840664678.05;794821311.99;0;45843366.06;12995728.97;104888;0;0;0;0;916592481.85;0;0;27220307.32;956913406.14
03.855.441/0001-63;2021-02-01;1;142310799.41;4891.17;0;0;142305908.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;849655153.22;803812745.98;0;45842407.24;12995728.97;104888;0;0;0;0;924239814.34;0;0;27234744.82;964575176.13
03.855.441/0001-63;2021-03-01;1;142449250.55;4160.25;0;0;142445090.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;864604408.72;818763379.62;0;45841029.1;12995728.97;104888;0;0;0;0;939807157.54;0;0;27249182.32;980156956.83
03.855.441/0001-63;2021-04-01;1;142515649.79;4522.38;0;0;142511127.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;880385149.59;834541974.97;0;45843174.62;12995728.97;104888;0;0;0;0;949340800.39;0;0;27263619.82;989705037.18
03.855.441/0001-63;2021-05-01;1;142503871.7;5667.71;0;0;142498203.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;890794764.65;844730096.11;0;46064668.54;12995728.97;104888;0;0;0;0;959118079.99;0;0;27278057.32;999496754.28
03.855.441/0001-63;2021-06-01;1;142817495.42;4625.31;0;0;142812870.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;906041516.48;859979521.4;0;46061995.08;12995728.97;104888;0;0;0;0;971379071.23;0;0;27292494.82;1011772183.02
03.855.441/0001-63;2021-07-01;1;143351777.12;7174.97;0;0;143344602.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;918892517.4;872828695.14;0;46063822.26;12995728.97;104888;0;0;0;0;984195178.61;0;0;27306932.32;1024602727.9
03.855.441/0001-63;2021-08-01;1;143849001.13;6308.07;0;0;143842693.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;935938051.91;889874887.19;0;46063164.72;12995728.97;104888;0;0;0;0;996628317.52;0;0;27325654.63;1037054589.12
04.066.582/0001-60;2021-01-01;1;303846.88;191.15;0;0;303655.73;60611000;60611000;0;60611000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;714768.89;645080.98;0;69687.91;840655.17;27478.74;0;0;0;0;0;0;0;168048.45;1036182.36
04.066.582/0001-60;2021-02-01;1;285572.28;196.9;0;0;285375.38;60611000;60611000;0;60611000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;709077.9;645080.98;0;63996.92;829931.58;27484.36;0;0;0;0;0;0;0;138420.98;995836.92
04.066.582/0001-60;2021-03-01;1;293752.64;185.76;0;0;293566.88;60611000;60611000;0;60611000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;702980.04;645080.98;0;57899.06;836388.99;27058.78;0;0;0;0;0;0;0;118955.06;982402.83
04.066.582/0001-60;2021-04-01;1;324137.75;192.93;0;0;323944.82;60611000;60611000;0;60611000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;701084.3;645080.98;0;56003.32;868740.31;26984.1;0;0;0;0;0;0;0;116831.12;1012555.53
04.066.582/0001-60;2021-05-01;1;340860.58;159.23;0;0;340701.35;60611000;60611000;0;60611000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;822751.48;770700.44;0;52051.04;1008246.45;27424.38;0;0;0;0;0;0;0;119343.05;1155013.88
