CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
08.098.114/0001-28;2021-07-01;1;2021-07-30;43;;;;;;;;;;;;;;;;834340632.45;829037834.71;8518064;97.3270258018724;0.000758279096176474;;0.005655;0.000106;0.005549;
08.098.114/0001-28;2021-08-01;1;2021-08-31;44;;;;;;;;;;;;;;;;834477423.05;828750470.51;8518064;97.2932899435834;0.000759574434525047;;0.005408;-0.000346;0.005754;
08.417.532/0001-30;2021-01-01;1;2021-01-31;2;;;;;;;;;;;;;;;;1424145439.62;286148989.29;46971;6092.03528325988;0.000726;3E-06;0.023076;0.023076;0;0
08.417.532/0001-30;2021-02-01;1;2021-02-28;2;;;;;;;;;;;;;;;;1320467858.16;288567360.65;46971;6143.52176129953;0.000667;3E-06;0.008451;0.008451;0;0
08.417.532/0001-30;2021-03-01;2;2021-03-31;2;;2;;;;;;;;;;;;;;1325240766.66;285594672.01;46971;6080.23401694663;0.0006666;3E-06;0.000677;0.000677;0;0
08.417.532/0001-30;2021-04-01;1;2021-04-30;2;;;;;;;;;;;;;;;;1337645407.94;288438920.21;46971;6140.78729875881;0.000676;3E-06;0.009959;0.009959;0;0
08.417.532/0001-30;2021-05-01;1;2021-05-31;2;;;;;;;;;;;;;;;;1345423138.16;290144902.71;46971;6177.10720891614;0.000676;3E-06;0.005915;0.005915;0;0
08.417.532/0001-30;2021-06-01;1;2021-06-30;2;;2;;;;;;;;;;;;;;1356919187.45;287772803.35;46971;6126.60584935385;0.000688;3E-06;0.0090909580034202;-0.008176;0.0172669580034202;0
08.417.532/0001-30;2021-07-01;1;2021-07-31;2;;;;;;;;;;;;;;;;1365859197.4;290257694.67;46971;6179.50851951204;0.000686;3E-06;0.008635;0.008635;0;0
08.417.532/0001-30;2021-08-01;1;2021-08-31;2;;;;;;;;;;;;;;;;1379172945.81;293827615.39;46971;6255.51117476741;0.000685;3E-06;0.012299;0.012299;0;0
08.431.747/0001-06;2021-01-01;1;2021-01-29;80366;;;;;;;;;;;;;;;;2229598549.48;2204296561.31;10000000;220.429656131;0.000468;2.8E-05;0.000916;-0.002703;0.003619;0
08.431.747/0001-06;2021-02-01;1;2021-02-26;80744;;;;;;;;;;;;;;;;2229023221.51;2204183975.05;10000000;220.418397505;0.000418;2.5E-05;0.003578;-5.1E-05;0.003629;0
08.431.747/0001-06;2021-03-01;1;2021-03-31;81787;81603;128;;;;5;;2;;;;22;26;;1;2219382525.98;2200209177.42;10000000;220.020917742;0.0005;3.2E-05;1.2E-05;-0.001803;0.001815;0
08.431.747/0001-06;2021-04-01;1;2021-04-30;81967;;;;;;;;;;;;;;;;2215477020.54;2197222976.79;10000000;219.722297679;0.000442;2.8E-05;0.000461;-0.001357;0.001818;0
08.431.747/0001-06;2021-05-01;1;2021-05-31;82260;;;;;;;;;;;;;;;;2212564940.32;2195761211.36;10000000;219.576121136;0.000458;2.9E-05;0.000928;-0.000665;0.001593;0
